"Name","activation","lr","num_hidden_layers","num_neurons_per_layer","train_acc","train_f1","train_hamming","train_loss","train_precision","train_recall","val_acc","val_f1","val_hamming","val_loss","val_precision","val_recall"
"silver-sweep-12","identity","0.0001","4","16","0.025354166666666664","0.04938338665006333","0.34734375","5.103936386260832","0.945","0.025354166666666664","0.014166666666666666","0.027912663755458516","0.34","5.129982631253039","0.94","0.014166666666666666"
"autumn-sweep-15","identity","0.0001","8","16","0.02752083333333333","0.05564315708286915","0.34765625","5.102806133818188","0.94375","0.028666666666666667","0.014166666666666666","0.027917026793431287","0.3375","5.111634181143696","0.95","0.014166666666666666"
"silvery-sweep-17","identity","0.0001","16","8","0.01078125","0.022796007507122722","0.348125","5.122241327379848","0.975625","0.011532738095238096","0.013333333333333332","0.026301369863013697","0.3375","5.096404291895266","0.96","0.013333333333333332"
"vital-sweep-22","relu","0.00001","8","4","0.01600297619047619","0.03427773380083533","0.35265625","5.421641810001265","0.928125","0.017461309523809525","0.01","0.019777777777777776","0.34625","5.4147848088676245","0.89","0.01"
"leafy-sweep-65","tanh","0.0001","4","8","0.0169375","0.03466139189350651","0.3471875","5.1350285715772195","0.9704166666666667","0.017645833333333333","0.0095","0.018807876530069188","0.34","5.144035722316233","0.93","0.0095"
"splendid-sweep-18","identity","0.0001","16","16","0.014416666666666664","0.029224880783067012","0.3465625","5.098080395064013","0.98125","0.014833333333333334","0.008333333333333333","0.016524701873935264","0.3375","5.0840978115751865","0.97","0.008333333333333333"
"fiery-sweep-72","tanh","0.0001","16","16","0.0153125","0.03220751406714294","0.34734375","5.103606562807054","0.9721875","0.016374999999999997","0.008333333333333333","0.01651705565529623","0.34625","5.184972995765789","0.92","0.008333333333333333"
"swept-sweep-11","identity","0.0001","4","8","0.0041875","0.008339768945815283","0.34796875","5.13115709773105","0.99125","0.0041875","0.006999999999999999","0.013901705115346037","0.335","5.140018478026161","0.99","0.006999999999999999"
"resilient-sweep-16","identity","0.0001","16","4","0.0007291666666666666","0.0014572667432870127","0.34875","5.16328958607945","0.99625","0.0007291666666666666","0.005","0.009950248756218907","0.335","5.112275934512577","1","0.005"
"stoic-sweep-10","identity","0.0001","4","4","0.0011458333333333333","0.0027046546860307174","0.34875","5.145658833260564","0.995625","0.0013541666666666665","0.005","0.009950248756218907","0.335","5.110125022620576","1","0.005"
"brisk-sweep-8","identity","0.00001","16","8","0.0053125","0.010980394723065647","0.34828125","5.168390607644315","0.989375","0.0055208333333333325","0.005","0.009948717948717949","0.34","5.173484769551716","0.97","0.005"
"volcanic-sweep-31","relu","0.0001","8","4","0.0038541666666666668","0.007678627226330591","0.348125","5.1708541169169715","0.99625","0.0038541666666666668","0.0025","0.004987405541561713","0.33625","5.1300965808586225","0.99","0.0025"
"super-sweep-24","relu","0.00001","8","16","0.005907738095238094","0.011744314820152615","0.34953125","5.235732156411036","0.975","0.005907738095238094","0.002","0.003991853360488799","0.3375","5.184692130455948","0.98","0.002"
"giddy-sweep-23","relu","0.00001","8","8","0.004458333333333333","0.008876234267067847","0.3496875","5.295587098426845","0.97875","0.004458333333333333","0.002","0.003991769547325103","0.33875","5.252731408343034","0.97","0.002"
"curious-sweep-14","identity","0.0001","8","8","0.012157738095238093","0.024017518335758097","0.34734375","5.122112503711743","0.98","0.012157738095238093","0.002","0.003991853360488799","0.3375","5.048361954730651","0.98","0.002"
"exalted-sweep-29","relu","0.0001","4","8","0.0038541666666666663","0.007678365030997162","0.34875","5.160946477594166","0.9875","0.0038541666666666663","0","0","0.3375","5.1598497780788595","0.99","0"
"silvery-sweep-68","tanh","0.0001","8","8","0.009979166666666666","0.02334380313621764","0.34828125","5.141139093104125","0.980625","0.011812499999999998","0","0","0.34125","5.182034738229105","0.97","0"
