"Name","activation","lr","num_epochs","num_hidden_layers","num_neurons_per_layer","optimizer","train_loss","train_acc","train_f1","train_precision","train_recall","val_loss","val_acc","val_f1","val_precision","val_recall"
"effortless-star-449","relu","0.00001","50","16","8","sgd","1.444361140859709","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.4243653355626036","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"feasible-sweep-539","sigmoid","0.0001","50","16","16","batch","1.5984507898908844","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.5397943688957356","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"charmed-sweep-253","relu","0.00001","50","8","16","sgd","1.5208737458357968","0.4234135667396061","0.27848954496867057","0.1677122513188087","0.8203414996288046","1.513453895096614","0.4298245614035088","0.2817936780200931","0.17006802721088435","0.8214285714285715"
"efficient-deluge-541","relu","0.0001","50","16","8","mini-batch","1.538076553603338","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.5245025477507221","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"radiant-glade-659","sigmoid","0.0001","50","16","16","mini-batch","1.4584625523232029","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.4054057271657767","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"solar-bird-439","relu","0.00001","50","8","16","sgd","1.5208737458357968","0.4234135667396061","0.27848954496867057","0.1677122513188087","0.8203414996288046","1.513453895096614","0.4298245614035088","0.2817936780200931","0.17006802721088435","0.8214285714285715"
"still-sweep-492","sigmoid","0.00001","100","4","8","mini-batch","2.166200935949506","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","2.13605238313522","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"dry-dust-660","sigmoid","0.0001","50","16","16","mini-batch","1.4584625523232029","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.4054057271657767","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"lyric-sweep-409","relu","0.0001","50","16","16","batch","1.7414990440543536","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.7404614238599891","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"true-dream-665","sigmoid","0.0001","100","4","8","batch","2.2033428617443787","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","2.1736327284804053","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"fresh-breeze-544","relu","0.0001","50","16","16","mini-batch","1.543391047936041","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.5012449098137088","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"hopeful-sweep-546","sigmoid","0.0001","100","4","8","mini-batch","1.8423872303306363","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.8087779552563408","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"easy-hill-583","sigmoid","0.00001","50","4","8","mini-batch","2.1884766971770926","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","2.1585844769162077","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"youthful-planet-426","relu","0.00001","50","4","16","sgd","1.5340747123056844","0.449671772428884","0.2834084032895045","0.18095592931658508","0.6532760980885907","1.5454626117869568","0.4298245614035088","0.2678247825164647","0.1689342403628118","0.6459507042253522"
"royal-sweep-491","sigmoid","0.00001","100","4","8","batch","2.2105054189295914","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","2.1808691885287574","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"pretty-sweep-490","sigmoid","0.00001","100","4","8","sgd","1.6900953205889169","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.6557396456606357","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"confused-sweep-553","sigmoid","0.0001","100","8","4","mini-batch","1.8495617215776212","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.8341124517216818","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"bright-sweep-558","sigmoid","0.0001","100","8","16","mini-batch","1.5190344532517817","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.498661472183388","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"olive-sweep-565","sigmoid","0.0001","100","16","8","mini-batch","1.490599154013771","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.465235966433287","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"faithful-sweep-416","relu","0.0001","50","16","8","mini-batch","1.538076553603338","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.5245025477507221","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"vital-snow-687","sigmoid","0.0001","100","16","16","batch","1.5953029944630435","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.5367775125080887","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
